date,SMA
2005-12-31,21.46909230769231
2006-12-31,26.596688461538463
2007-12-31,30.563488461538462
2008-12-31,27.17036346153846
2009-12-31,23.242747169811324
2010-12-31,27.658357692307693
2011-12-31,27.627648076923077
2012-12-31,26.996330769230767
2013-12-31,36.78211730769231
2014-12-31,43.183563461538455
2015-12-31,48.62384150943396
2016-12-31,50.69133269230769
2017-12-31,72.94011923076923
2018-12-31,91.84392307692308
2019-12-31,94.30724423076923
2020-12-31,95.21424716981132
2021-12-31,138.32940192307692
2022-12-31,121.7243826923077
2023-12-31,136.45391346153846
