date,value
2005-12-31,195.29166666666666
2006-12-31,201.59166666666667
2007-12-31,207.34241666666665
2008-12-31,215.3025
2009-12-31,214.537
2010-12-31,218.05550000000002
2011-12-31,224.93916666666667
2012-12-31,229.59391666666667
2013-12-31,232.95708333333334
2014-12-31,236.73616666666666
2015-12-31,237.01700000000002
2016-12-31,240.00716666666665
2017-12-31,245.11958333333334
2018-12-31,251.10683333333336
2019-12-31,255.65741666666668
2020-12-31,258.8111666666667
2021-12-31,270.96975000000003
2022-12-31,292.6549166666667
2023-12-31,304.7015833333333
